,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
80,CNHI,8.51388,0.348467,2.49137,0.77033,7.17593,29.38799,32.40359,8.54916,8.47997,17.97674,19.61812,33.69952,5.38085,6.25405,0.0,75.96684,321.5729,321.5729,20.96782,0.0,1339705400.0,1008.455,18678.95,10.71482
81,CODA,22.42934,0.0,2.08647,4.4514,18.73579,67.24818,67.06241,20.38689,24.97838,22.67616,24.0533,10.02612,9.34656,9.9976,10.51882,0.0,0.0,0.0,0.0,8.97563,11020167.0,4.73044,97.85908,21.29648
82,CMCO,21.42237,0.334724,1.21788,1.05537,11.16929,35.94364,35.61401,4.95424,5.2216,10.09089,8.75939,5.95689,2.79201,3.22564,2.15199,37.2574,54.37493,59.38134,11.4773,0.0,28608843.0,27.9413,987.5773,12.36768
83,FIX,25.04172,3.415988,5.1129,1.21648,18.17884,17.92115,17.48663,4.88513,4.87094,6.52498,6.03461,22.40294,8.40738,15.00687,1.03723,16.56972,18.77199,19.86056,34.68122,5.14255,35767519.0,34.97432,5388.734,19.99568
84,CMPO,11.83007,0.048578,0.0,1.45673,4.58039,57.55488,55.97591,29.68207,11.26464,29.34301,30.85526,0.0,70.2433,0.0,1.98357,534.1061,0.0,0.0,10.6432,1.62812,17784242.0,7.78365,567.5564,0.0
85,CIX,11.23639,0.0,1.59796,2.09637,15.91171,28.63028,31.18638,10.25398,12.74377,12.25316,15.88282,7.93602,7.25604,7.77357,8.46818,0.0,0.0,0.0,13.1281,0.91582,12307157.0,1.59545,273.7928,7.27611
86,BBCP,12.04798,0.011922,1.3441,0.9406,4.27523,40.53002,38.95699,8.29661,6.91958,12.73509,10.05931,11.72067,4.02421,4.45705,0.74126,57.49325,119.0903,135.2567,23.75316,0.0,55409996.0,26.93691,385.0995,0.0
87,ROAD,65.93934,0.961209,3.20262,1.0074,14.73831,10.45985,8.08989,1.50803,0.0,2.93204,0.0,4.99983,2.08959,2.56922,1.80234,48.27339,90.34191,93.3241,34.69511,0.0,41396305.0,38.18065,1450.604,23.64515
88,CPA,12.18973,0.017517,2.75521,1.38337,6.66129,54.49177,60.41935,11.73862,9.9124,15.18985,24.6636,24.93664,7.78764,10.40217,1.0354,53.00124,97.85525,112.7716,96.36877,10.02749,28477704.0,28.10348,4101.742,0.0
89,CXW,8.98149,0.304501,0.71107,0.54545,4.15799,23.05751,22.59051,6.25381,2.70741,8.43498,8.67769,8.23243,3.51459,3.88969,1.30902,43.76989,76.95981,77.84068,0.0,0.0,113656983.0,113.2101,1009.274,0.28579
90,CNM,12.70441,0.108505,3.81454,1.00225,9.14401,26.98842,27.14702,8.73553,6.11354,11.65238,9.02475,23.82813,12.43712,17.58209,3.04545,37.71,82.65598,83.5146,32.91633,0.0,165523339.0,168.1005,6665.983,0.0
91,CAAP,10.78373,0.038809,2.5711,1.33546,5.44534,30.15131,27.90763,12.01418,0.0,14.73072,15.35247,28.36268,4.44275,6.03663,0.95734,63.09324,180.5559,205.873,97.26099,0.0,160843596.0,31.77187,1841.152,8.73929
