,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
45,HE,17.70683,0.0,1.79001,1.03109,8.23798,9.66023,10.0748,5.88347,5.94611,9.66023,10.0748,9.98292,1.41308,1.46032,0.0,59.93011,143.0153,149.564,29.82966,0.0,109572075.0,108.3769,4005.955,0.841
46,IDA,20.32608,2.326679,1.93142,3.15289,12.28395,33.31233,29.92072,15.57803,13.03918,19.34904,15.85048,9.77424,3.55327,3.77065,1.86066,47.95615,87.95617,92.384,16.35141,1.58432,50607611.0,50.24039,5452.464,4.44158
47,KEN,5.11944,0.0,0.99887,2.77741,3.87092,17.3653,15.75847,60.81481,0.0,0.31742,0.0,18.43203,8.95292,11.68129,5.50174,33.62459,70.30463,72.76083,17.8763,0.0,53894413.0,21.31372,1596.891,10.17733
48,MGEE,25.61698,11.521275,2.50883,3.81228,14.00769,34.0417,32.33787,14.88724,14.30498,18.80293,18.42736,10.02645,4.39248,4.62279,1.52904,40.19241,61.00768,67.20286,11.61615,14.44427,36163370.0,36.10166,2755.649,5.90961
49,MSEX,35.83434,0.0,3.19901,7.85353,20.19543,0.0,0.0,22.01905,15.37897,25.73087,19.62994,9.23612,3.43353,3.70719,0.41177,48.08879,81.30348,92.63662,11.98883,0.0,17681092.0,17.32624,1291.073,9.99883
50,MNTK,26.75673,0.098009,3.83859,4.55143,16.45239,48.51071,5.42445,16.89043,0.0,16.64477,0.0,15.92239,10.63962,11.58725,4.05127,23.59062,27.3418,30.87398,29.35498,0.0,143661719.0,40.78794,876.3365,0.0
51,NGG,14.5531,0.10357,1.647,2.06443,8.83059,0.0,0.0,14.12127,11.91233,24.64962,23.70817,12.59264,3.09428,4.03479,0.71267,65.18222,151.8916,187.3973,42.77954,0.0,3678025258.0,697.6281,53515.39,1.98651
52,NFE,54.76865,0.0,4.38795,2.33717,7.60032,60.75593,68.49158,24.88018,24.44801,33.70413,46.14224,6.23715,7.79554,9.16498,0.82664,78.50519,384.0108,407.5726,45.18019,5.99631,205030155.0,97.43433,5708.04,30.24983
53,NJR,16.26457,0.07768,2.38278,1.7765,11.17178,0.0,0.0,10.60667,16.94277,16.70833,25.64861,15.52092,4.68239,5.38817,0.86577,59.84561,132.0547,149.0388,7.92258,0.0,96964456.0,95.89191,4770.651,5.73313
54,NEE,22.56935,0.063363,3.57666,6.19225,14.68903,0.0,0.0,23.09741,26.57832,31.46639,43.80584,16.96813,3.68931,4.69077,0.53391,57.14367,137.5583,164.6797,52.66433,8.95522,2023421945.0,1983.261,153456.3,5.66652
